ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,storage_medium,qc_flag,flag_reason,qc_log,ufn_sort
U246,scale,BSC11-6,BSC11,6,BSC11-6,NA,collected,Dry,N,NA,NA,246
U247,scale,BSC11-7,BSC11,7,BSC11-7,NA,collected,Dry,N,NA,NA,247
U248,scale,BSC11-8,BSC11,8,BSC11-8,NA,collected,Dry,N,NA,NA,248
U249,scale,BSC11-9,BSC11,9,BSC11-9,NA,collected,Dry,N,NA,NA,249
U250,scale,BSC11-10,BSC11,10,BSC11-10,NA,collected,Dry,N,NA,NA,250
U251,scale,BSC13-6,BSC13,6,BSC13-6,NA,collected,Dry,N,NA,NA,251
U252,scale,BSC13-7,BSC13,7,BSC13-7,NA,collected,Dry,N,NA,NA,252
U253,scale,BSC13-8,BSC13,8,BSC13-8,NA,collected,Dry,N,NA,NA,253
U254,scale,BSC13-10,BSC13,10,BSC13-10,NA,collected,Dry,N,NA,NA,254
U255,scale,BSC13-9,BSC13,9,BSC13-9,NA,collected,Dry,N,NA,NA,255
U256,scale,BSC13-12,BSC13,12,BSC13-12,NA,collected,Dry,N,NA,NA,256
U257,scale,BSC13-13,BSC13,13,BSC13-13,NA,collected,Dry,N,NA,NA,257
U258,scale,BSC13-14,BSC13,14,BSC13-14,NA,collected,Dry,N,NA,NA,258
U259,scale,BSC13-15,BSC13,15,BSC13-15,NA,collected,Dry,N,NA,NA,259
U260,scale,BSC13-16,BSC13,16,BSC13-16,NA,collected,Dry,N,NA,NA,260
U261,scale,BSC11-12,BSC11,12,BSC11-12,NA,collected,Dry,N,NA,NA,261
U262,scale,BSC11-13,BSC11,13,BSC11-13,NA,collected,Dry,N,NA,NA,262
U263,scale,BSC11-14,BSC11,14,BSC11-14,NA,collected,Dry,N,NA,NA,263
U264,scale,BSC11-15,BSC11,15,BSC11-15,NA,collected,Dry,N,NA,NA,264
U265,scale,BSC11-16,BSC11,16,BSC11-16,NA,collected,Dry,N,NA,NA,265
U266,scale,BSC11-17,BSC11,17,BSC11-17,NA,collected,Dry,N,NA,NA,266
U267,scale,BSC11-18,BSC11,18,BSC11-18,NA,collected,Dry,N,NA,NA,267
U268,scale,BSC11-19,BSC11,19,BSC11-19,NA,collected,Dry,N,NA,NA,268
U269,scale,BSC11-20,BSC11,20,BSC11-20,NA,collected,Dry,N,NA,NA,269
U270,scale,BSC11-21,BSC11,21,BSC11-21,NA,collected,Dry,N,NA,NA,270
U271,scale,BSC13-17,BSC13,17,BSC13-17,NA,collected,Dry,N,NA,NA,271
U272,scale,BSC13-18,BSC13,18,BSC13-18,NA,collected,Dry,N,NA,NA,272
U273,scale,BSC13-19,BSC13,19,BSC13-19,NA,collected,Dry,N,NA,NA,273
U274,scale,BSC13-20,BSC13,20,BSC13-20,NA,collected,Dry,N,NA,NA,274
U275,scale,BSC13-21,BSC13,21,BSC13-21,NA,collected,Dry,N,NA,NA,275
U276,scale,BSC13-22,BSC13,22,BSC13-22,NA,collected,Dry,N,NA,NA,276
U277,scale,BSC13-23,BSC13,23,BSC13-23,NA,collected,Dry,N,NA,NA,277
U278,scale,BSC13-24,BSC13,24,BSC13-24,NA,collected,Dry,N,NA,NA,278
U279,scale,BSC12-25,BSC12,25,BSC12-25,NA,collected,Dry,N,NA,NA,279
U280,scale,BSC13-25,BSC13,25,BSC13-25,NA,collected,Dry,N,NA,NA,280
U281,scale,BSC12-14,BSC12,14,BSC12-14,NA,collected,Dry,N,NA,NA,281
U284,scale,BSC12-17,BSC12,17,BSC12-17,NA,collected,Dry,N,NA,NA,284
U285,scale,BSC12-18,BSC12,18,BSC12-18,NA,collected,Dry,N,NA,NA,285
U286,scale,BSC12-19,BSC12,19,BSC12-19,NA,collected,Dry,N,NA,NA,286
U287,scale,BSC12-20,BSC12,20,BSC12-20,NA,collected,Dry,N,NA,NA,287
U288,scale,BSC12-21,BSC12,21,BSC12-21,NA,collected,Dry,N,NA,NA,288
U289,scale,BSC12-22,BSC12,22,BSC12-22,NA,collected,Dry,N,NA,NA,289
U290,scale,BSC12-23,BSC12,23,BSC12-23,NA,collected,Dry,N,NA,NA,290
U291,scale,BSC12-24,BSC12,24,BSC12-24,NA,collected,Dry,N,NA,NA,291
U292,scale,BSC12-26,BSC12,26,BSC12-26,NA,collected,Dry,N,NA,NA,292
U293,scale,BSC12-27,BSC12,27,BSC12-27,NA,collected,Dry,N,NA,NA,293
U294,scale,BSC12-28,BSC12,28,BSC12-28,NA,collected,Dry,N,NA,NA,294
U295,scale,BSC12-30,BSC12,30,BSC12-30,NA,collected,Dry,N,NA,NA,295
U296,scale,BSC12-29,BSC12,29,BSC12-29,NA,collected,Dry,N,NA,NA,296
U297,scale,BSC12-31,BSC12,31,BSC12-31,NA,collected,Dry,N,NA,NA,297
